[2025-07-31 18:17:14] [INFO    ] discord.client: logging in using static token
[2025-07-31 18:17:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-31 18:17:15] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-31 18:17:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1396048275995623444', 'username': 'Mr.Popo', 'avatar': '571e9a635338ea94c30ab3ec909fe9b4', 'discriminator': '0984', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-31 18:17:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-31 18:17:15] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-31 18:17:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1396048275995623444', 'name': 'Mr.Popo', 'icon': '571e9a635338ea94c30ab3ec909fe9b4', 'description': "Hello M@gots, Popo here 👋👋\nI'm the managing bot of the discord server of GodsaintBHH265. He's my master. Worship him m@gots.", 'type': None, 'bot': {'id': '1396048275995623444', 'username': 'Mr.Popo', 'avatar': '571e9a635338ea94c30ab3ec909fe9b4', 'discriminator': '0984', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6ec09b705ae94d2d8cfa4b3bab6527800549d39cf22b5fc39d1518f6e933e39c', 'flags': 557056, 'tags': ['mr.popo', 'GodsaintBHH', 'Dragon ball z'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1396046905212928000', 'username': 'godsi_dev_265', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Godsi', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 230, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-31 18:17:16] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-31 18:17:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-hh3h",{"micros":0.0}]']}}
[2025-07-31 18:17:16] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-31 18:17:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-31 18:17:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Mr.Popo', 'primary_guild': None, 'mfa_enabled': False, 'id': '1396048275995623444', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0984', 'clan': None, 'bot': True, 'avatar': '571e9a635338ea94c30ab3ec909fe9b4'}, 'session_type': 'normal', 'session_id': '318cd1eb06ea2f0c166012279c0e641b', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1018857621551321118'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'singapore', 'dubai', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1396048275995623444', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-hh3h",{"micros":139474,"calls":["id_created",{"micros":943,"calls":[]},"session_lookup_time",{"micros":647,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-173",{"micros":137509,"calls":["start_session",{"micros":91869,"calls":["discord-api-rpc-594b6b59df-rbp5c",{"micros":77165,"calls":["get_user",{"micros":6629},"get_guilds",{"micros":30354},"send_scheduled_deletion_message",{"micros":19},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":5567},"apex_experiments",{"micros":2748},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":24467,"calls":[]},"guilds_started",{"micros":67,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":21053,"calls":[]},"connect_finished",{"micros":21057,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-31 18:17:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-31 18:17:16] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 318cd1eb06ea2f0c166012279c0e641b).
[2025-07-31 18:17:16] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-31 18:17:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'afk_timeout': 300, 'inventory_settings': None, 'icon': None, 'region': 'deprecated', 'banner': None, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1018857621551321118', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753612794914, 'unicode_emoji': None, 'tags': {'bot_id': '1396048275995623444'}, 'position': 1, 'permissions': '581017002241136', 'name': 'Mr.Popo', 'mentionable': False, 'managed': True, 'id': '1398978200864030784', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753797106209, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Angel', 'mentionable': False, 'managed': False, 'id': '1399751227780366397', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}], 'presences': [], 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1018857621551321119', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1018857621551321120', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1018857621551321119', 'name': 'general', 'last_message_id': '1400068634436435988', 'id': '1018857622012706816', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1018857621551321120', 'name': 'General', 'last_message_id': None, 'id': '1018857622012706817', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1018857621551321118', 'deny': '1049600', 'allow': '0'}], 'parent_id': '1018857621551321120', 'name': 'recordings', 'last_message_id': None, 'id': '1021206557209415751', 'flags': 0, 'bitrate': 64000}], 'afk_channel_id': None, 'profile': None, 'stage_instances': [], 'joined_at': '2025-07-27T10:39:54.940000+00:00', 'embedded_activities': [], 'application_command_counts': {}, 'id': '1018857621551321118', 'features': [], 'application_id': None, 'name': "ArijitBHH265's server", 'unavailable': False, 'voice_states': [], 'threads': [], 'max_members': 25000000, 'moderator_reporting': None, 'activity_instances': [], 'premium_features': None, 'vanity_url_code': None, 'description': None, 'system_channel_id': '1018857622012706816', 'incidents_data': None, 'large': False, 'lazy': True, 'verification_level': 0, 'mfa_level': 0, 'public_updates_channel_id': None, 'premium_tier': 0, 'nsfw_level': 0, 'preferred_locale': 'en-US', 'nsfw': False, 'home_header': None, 'system_channel_flags': 0, 'discovery_splash': None, 'splash': None, 'default_message_notifications': 0, 'rules_channel_id': None, 'latest_onboarding_question_id': None, 'max_stage_video_channel_users': 50, 'owner_configured_content_level': 0, 'max_video_channel_users': 25, 'hub_type': None, 'member_count': 2, 'premium_subscription_count': 0, 'safety_alerts_channel_id': None, 'owner_id': '526657953827127303', 'version': 0, 'guild_scheduled_events': [], 'stickers': [], 'members': [{'user': {'username': 'Mr.Popo', 'public_flags': 0, 'primary_guild': None, 'id': '1396048275995623444', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0984', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '571e9a635338ea94c30ab3ec909fe9b4'}, 'roles': ['1398978200864030784'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-27T10:39:54.940000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'explicit_content_filter': 0, 'emojis': [], 'soundboard_sounds': [], 'premium_progress_bar_enabled': False}}
[2025-07-31 18:17:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-31 18:17:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '0c230b1d3a2f157c3ac2ab4a2b53c936', 'members': [{'user': {'username': 'godsaintbhh265', 'public_flags': 64, 'primary_guild': None, 'id': '526657953827127303', 'global_name': 'Arijit Kabiraj', 'display_name_styles': None, 'display_name': 'Arijit Kabiraj', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f9dd3c9ede44b3b2e25a51372ef84d41'}, 'roles': ['1399751227780366397'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-09-12T12:16:26.453000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Mr.Popo', 'public_flags': 0, 'primary_guild': None, 'id': '1396048275995623444', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0984', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '571e9a635338ea94c30ab3ec909fe9b4'}, 'roles': ['1398978200864030784'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-27T10:39:54.940000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1018857621551321118', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-31 18:17:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-31 18:17:17] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1018857621551321118.
[2025-07-31 18:17:18] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-31 18:17:18] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-31 18:17:57] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-07-31 18:17:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-31 18:18:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-07-31 18:18:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
